ref_date;interval;L50;L100;L200;L250;L500;L1000;L1500;L2000;L2500;L5000,SDATE;INTERVAL;R<50-25%;R<50-75%;R50;R<100-25%;R<100-75%;R100;R<200-25%;R<200-75%;R200;R<250-25%;R<250-75%;R250;R<500-25%;R<500-75%;R500;R<1000-25%;R<1000-75%;R1000;R<1500-25%;R<1500-75%;R1500;R<2000-25%;R<2000-75%;R2000;R<2500-25%;R<2500-75%;R2500;R<5000-25%;R<5000-75%;R5000;SUM_CENTS_PRINCIPAL
27/01/2020;18;6375;12962;5097;6221;3402;519;130;3;72;5,27/01/2020;17;1951;1716;7027;1271;1045;12932;1090;1276;4185;271;350;5042;542;462;2496;69;52;459;6;8;114;1;1;11;2;2;42;0;0;1;6977362
27/01/2020;19;9406;17079;6531;8123;4201;610;156;8;74;4,27/01/2020;18;2235;2173;8685;1584;1393;16131;1378;1589;5589;350;514;6001;696;521;3068;86;71;490;11;6;111;1;0;11;1;1;61;1;1;2;8582428
27/01/2020;20;8936;15654;5520;7111;3600;522;128;13;56;8,27/01/2020;19;2892;2695;10258;1943;1579;18615;1634;1839;6141;409;638;7318;829;718;3343;89;84;528;15;17;108;0;2;8;0;2;54;1;0;5;9853479
27/01/2020;21;6507;11465;3362;4968;2556;431;74;5;41;1,27/01/2020;20;2246;2061;6845;1379;1246;12906;1244;1361;4314;309;444;5143;614;539;2400;57;46;354;6;3;71;2;1;5;2;0;47;1;0;1;6939360
27/01/2020;22;3314;6349;1500;2651;1351;238;38;9;20;2,27/01/2020;21;1411;1149;3336;847;707;6896;726;828;2173;187;277;2742;332;337;1337;43;23;201;6;5;46;0;0;4;2;0;34;0;0;1;3828428
27/01/2020;23;1341;3074;556;1152;587;86;23;2;9;1,27/01/2020;22;556;458;1011;333;295;2470;294;333;815;60;115;1083;140;138;552;23;9;81;2;2;13;0;1;3;1;0;11;0;0;3;1488678
28/01/2020;00;593;1474;442;574;336;47;4;2;3;0,27/01/2020;23;190;150;301;105;82;649;86;94;223;21;21;358;62;41;151;3;3;22;3;2;3;0;0;0;1;0;4;0;0;0;432090
28/01/2020;01;296;665;163;290;142;21;2;2;2;0,28/01/2020;00;86;59;94;52;25;261;28;37;75;7;9;114;20;11;57;0;0;7;0;0;4;0;0;0;0;1;1;0;0;0;152921
28/01/2020;02;215;531;114;184;115;15;6;0;3;0,28/01/2020;01;48;17;44;16;8;101;8;11;41;6;7;45;8;6;31;1;0;3;0;0;1;0;0;0;1;0;0;0;0;0;68049
28/01/2020;03;232;570;114;191;135;20;7;1;1;1,28/01/2020;02;26;24;36;15;12;78;15;9;16;1;2;54;7;2;25;2;0;0;0;0;3;0;0;0;0;0;1;0;0;0;57259
28/01/2020;04;371;825;182;244;169;28;5;1;6;1,28/01/2020;03;24;32;30;13;4;69;7;12;31;4;5;32;11;8;21;1;1;6;0;0;1;0;0;0;0;0;0;0;0;0;56297
28/01/2020;05;1004;2097;518;700;357;64;10;2;8;0,28/01/2020;04;53;23;51;21;19;126;11;17;38;4;4;32;8;6;34;3;1;8;0;0;0;0;0;1;0;0;1;0;0;0;78229
28/01/2020;06;2892;6000;2146;2354;1270;198;48;2;20;3,28/01/2020;05;127;83;160;70;49;392;53;46;146;6;17;152;34;19;83;3;3;12;0;0;5;0;0;0;0;0;2;0;0;0;235741
28/01/2020;07;3924;9116;3801;4276;2495;428;88;6;47;2,28/01/2020;06;703;415;1257;315;254;2742;278;314;1013;58;84;1061;135;126;561;21;10;107;0;4;16;2;1;7;0;0;10;0;0;3;1579992
28/01/2020;08;3956;10310;4293;5268;3298;551;135;6;65;3,28/01/2020;07;1498;1180;3996;907;735;7923;755;905;2965;203;276;3155;429;321;1775;44;37;280;4;5;64;4;1;8;0;0;26;0;1;1;4606654
28/01/2020;09;4065;10163;4359;5466;3522;670;158;5;82;5,28/01/2020;08;1981;1676;5292;1256;1062;12135;1117;1276;4344;283;468;4845;633;491;2616;64;61;491;8;17;110;4;4;7;0;3;56;0;0;2;7013354
28/01/2020;10;3859;10167;4290;5182;3477;610;150;7;81;5,28/01/2020;09;2141;1905;5499;1362;1164;12711;1182;1388;4590;310;424;5064;677;559;2829;96;83;523;14;7;122;6;2;15;1;1;75;0;0;5;7540977
28/01/2020;11;3714;9420;3899;4984;3189;511;105;5;54;3,28/01/2020;10;1982;1762;5284;1237;1075;12268;1178;1329;4489;289;462;5191;640;552;2899;89;58;556;10;7;124;1;1;10;2;3;69;1;0;6;7470415
28/01/2020;12;3711;9388;3724;4777;3128;518;113;7;65;2,28/01/2020;11;1794;1596;4752;1193;956;10830;1058;1139;3979;263;398;4463;581;490;2631;77;65;495;7;6;94;2;0;7;2;1;56;1;0;4;6588443
28/01/2020;13;3574;8778;3613;4386;2795;514;124;8;79;1,28/01/2020;12;1378;1249;3810;928;758;8850;821;956;3336;206;329;3750;473;369;2030;63;51;417;11;6;75;1;3;10;5;2;52;0;0;3;5389178
28/01/2020;14;3792;9120;3475;4533;2843;467;111;8;54;5,28/01/2020;13;1526;1363;4057;976;864;9606;918;1097;3397;243;340;3964;501;428;2248;69;55;379;6;8;78;4;1;9;1;2;55;0;1;2;5717501
28/01/2020;15;3961;9724;3645;4586;2838;491;131;8;58;6,28/01/2020;14;1578;1268;4231;1005;825;9117;905;1000;3233;225;333;3775;437;399;2069;69;43;335;4;12;81;1;1;10;1;1;41;0;2;2;5365436
28/01/2020;16;4562;10221;4003;4781;2957;468;100;6;56;6,28/01/2020;15;1736;1549;4852;1090;952;10237;1006;1097;3498;257;321;4034;525;458;2065;86;57;384;4;7;74;2;0;4;1;1;52;0;3;4;5821233
28/01/2020;17;5158;10911;4310;5276;3003;502;123;6;52;4,28/01/2020;16;1871;1654;5959;1160;1120;12096;1082;1133;3938;256;371;4479;522;442;2380;72;61;461;4;9;74;1;0;9;0;0;43;1;0;3;6499279
28/01/2020;18;6518;13263;5317;6521;3850;608;165;17;62;5,28/01/2020;17;1981;1994;7201;1311;1197;13427;1123;1345;4585;262;403;5004;593;469;2427;68;67;422;9;4;105;1;4;11;2;1;51;0;0;5;7152946
28/01/2020;19;9767;17772;6910;8546;4546;692;152;6;66;5,28/01/2020;18;2489;2518;9178;1689;1488;17191;1508;1650;5785;405;561;6417;688;608;3014;92;53;486;8;13;124;2;0;13;2;4;52;0;0;3;8940531
28/01/2020;20;9392;16559;5877;7620;4094;651;152;11;64;5,28/01/2020;19;3013;3068;10656;2098;1877;19645;1920;2003;6522;454;665;7267;899;747;3399;100;89;508;14;7;122;2;2;13;0;1;49;1;0;2;10212995
28/01/2020;21;6679;12240;3665;5483;2919;494;93;6;37;2,28/01/2020;20;2474;2438;7369;1620;1342;13957;1412;1570;4676;389;544;5509;664;559;2367;68;54;382;7;5;77;1;1;3;0;2;50;1;0;2;7441844
28/01/2020;22;3523;6872;1726;2987;1619;281;53;6;16;1,28/01/2020;21;1507;1390;3698;972;767;7570;848;881;2313;244;299;3027;444;357;1542;52;25;253;5;9;44;2;0;7;1;0;25;0;2;0;4271712
28/01/2020;23;1429;3237;688;1388;699;118;17;5;8;1,28/01/2020;22;661;503;1100;332;319;2600;319;382;853;70;131;1153;183;159;626;21;10;98;0;1;28;0;1;3;0;0;10;0;0;2;1639909
29/01/2020;00;583;1427;462;699;364;57;7;5;7;0,28/01/2020;23;197;174;296;123;103;772;88;123;256;21;35;400;65;39;190;8;6;32;1;0;7;0;0;0;0;1;2;0;0;0;505733
29/01/2020;01;307;784;202;310;163;33;4;2;3;0,29/01/2020;00;84;46;84;47;34;261;36;43;90;11;15;126;22;16;70;2;2;12;1;0;3;0;0;0;0;0;1;0;0;0;177299
29/01/2020;02;243;619;141;218;140;21;2;2;2;1,29/01/2020;01;57;30;41;25;15;125;15;19;36;4;7;60;14;7;34;4;0;5;1;0;3;1;0;1;0;0;0;0;0;0;89078
29/01/2020;03;265;611;152;249;152;23;3;0;1;0,29/01/2020;02;40;23;32;19;7;118;12;10;37;2;5;40;7;3;19;0;0;2;0;0;1;0;0;1;0;0;1;0;0;1;64495
29/01/2020;04;354;911;193;324;168;32;4;1;2;1,29/01/2020;03;27;27;43;12;20;95;15;11;38;3;3;50;8;7;33;0;1;8;0;0;2;0;0;0;0;0;0;0;0;0;74094
29/01/2020;05;1001;2036;548;780;447;90;19;1;6;0,29/01/2020;04;50;27;42;17;17;138;14;17;42;5;4;49;7;4;27;2;2;13;0;0;3;0;0;0;0;0;0;0;0;0;84860
29/01/2020;06;2683;6021;2080;2567;1477;231;44;5;21;0,29/01/2020;05;116;61;164;67;44;414;38;54;149;14;18;162;28;14;78;3;5;22;0;1;5;1;0;0;0;0;1;0;0;0;246529
29/01/2020;07;3751;9311;3804;4553;2835;438;100;8;41;3,29/01/2020;06;660;440;1195;364;255;2599;286;298;1028;68;99;1079;156;123;554;16;13;85;1;3;20;0;1;1;1;1;5;0;0;0;1522686
29/01/2020;08;4057;10352;4341;5318;3437;546;127;5;66;5,29/01/2020;07;1493;1207;3976;863;802;8097;783;937;3004;192;283;3206;472;370;1691;48;35;318;8;8;69;1;0;7;0;0;46;3;0;1;4752288
29/01/2020;09;3951;10331;4518;5460;3375;609;119;5;67;3,29/01/2020;08;1962;1652;5042;1183;991;11112;1083;1266;4097;271;399;4472;628;483;2511;77;57;425;7;3;104;3;2;9;2;2;60;2;0;1;6580634
29/01/2020;10;4024;10344;4236;5291;3319;579;140;6;67;3,29/01/2020;09;2059;1756;5187;1269;1035;12154;1150;1297;4593;307;403;4826;631;496;2728;74;76;529;10;7;104;3;0;10;1;2;68;0;0;3;7179694
29/01/2020;11;3736;9938;4082;4986;3270;526;126;6;68;5,29/01/2020;10;1979;1632;5080;1222;1038;11677;1123;1222;4179;272;401;4737;642;488;2727;82;66;494;6;5;117;4;1;11;1;0;58;0;0;5;6950800
29/01/2020;12;3715;9555;3753;4720;3048;502;137;3;65;5,29/01/2020;11;1726;1443;4453;1056;943;10347;1002;1089;3694;263;380;4276;587;479;2551;101;64;459;6;8;99;1;1;12;2;3;62;0;1;7;6374225
29/01/2020;13;3796;9433;3639;4423;2835;468;109;4;81;6,29/01/2020;12;1647;1400;4244;957;869;9754;930;1023;3443;235;331;3916;528;424;2210;88;50;397;5;9;98;2;2;14;2;0;42;1;1;7;5770841
29/01/2020;14;3994;9682;3646;4546;2825;444;97;6;64;3,29/01/2020;13;1513;1289;4058;945;786;8912;841;905;3136;230;319;3677;462;385;2087;76;51;394;6;5;106;1;0;11;2;1;50;1;0;1;5384429
29/01/2020;15;4169;9726;3857;4739;2853;444;114;3;61;3,29/01/2020;14;1599;1377;4393;958;864;9262;817;991;3257;203;320;3558;480;384;2101;59;54;366;10;5;95;0;0;7;1;3;57;0;0;3;5429080
29/01/2020;16;4664;10852;4055;4910;2902;456;121;4;55;4,29/01/2020;15;1695;1464;4881;962;901;9904;914;960;3271;204;313;3776;486;390;1975;68;62;354;13;6;74;2;0;6;1;2;51;2;1;1;5486605
29/01/2020;17;5013;10797;4244;5075;3096;450;128;7;52;5,29/01/2020;16;1835;1600;5747;1058;972;11383;944;1071;3757;251;381;4098;513;446;2223;63;43;407;11;8;101;1;1;14;2;3;55;0;0;4;6187632
29/01/2020;18;6642;13379;5342;6469;3646;574;124;7;47;3,29/01/2020;17;1896;1811;6848;1245;1066;12615;1083;1171;4230;260;389;4729;552;462;2437;60;49;418;10;7;109;0;0;6;3;3;40;1;0;6;6794393
29/01/2020;19;10226;18780;7046;8765;4611;719;166;7;76;5,29/01/2020;18;2379;2355;8650;1684;1477;16072;1480;1575;5604;382;505;5870;734;569;2789;62;72;493;8;9;99;1;1;13;3;2;45;1;0;8;8444970
29/01/2020;20;9451;17317;6052;8307;4186;688;164;14;91;8,29/01/2020;19;1994;2244;8901;1566;1409;16058;1381;1620;5346;336;556;5951;689;584;2854;72;51;422;5;8;106;1;1;9;1;3;46;2;0;2;8322559
29/01/2020;21;6713;12355;3710;5437;2871;498;92;11;51;1,29/01/2020;20;2803;2423;7768;1657;1439;14404;1394;1608;4790;402;533;5523;700;611;2587;94;74;405;10;11;101;3;0;8;3;2;53;0;0;4;7828194
29/01/2020;22;3392;7056;1710;2950;1530;260;45;11;14;0,29/01/2020;21;1587;1402;3549;893;742;7559;768;840;2263;178;283;2956;374;306;1435;43;31;215;6;2;53;0;1;5;1;0;25;0;1;2;4062822
29/01/2020;23;1445;3377;710;1367;725;122;27;2;8;0,29/01/2020;22;686;566;1204;366;346;2883;348;367;883;82;102;1243;163;105;586;11;15;100;1;2;30;0;0;0;0;0;13;0;0;1;1658556
30/01/2020;00;727;1654;477;713;373;66;11;3;4;0,29/01/2020;23;240;173;326;122;110;823;98;140;242;29;31;344;50;56;210;11;3;45;0;0;5;1;0;1;0;1;2;0;0;0;525186
30/01/2020;01;333;842;211;334;182;31;2;1;3;0,30/01/2020;00;112;64;113;56;51;348;40;35;88;4;14;125;23;13;62;5;1;13;0;1;7;0;0;1;0;0;2;0;0;1;199742
30/01/2020;02;251;626;166;212;133;27;3;2;2;0,30/01/2020;01;47;40;62;28;15;139;19;21;41;6;8;76;11;9;48;2;1;3;0;0;1;0;0;0;0;0;0;0;0;0;95772
30/01/2020;03;293;662;142;232;126;25;5;1;1;0,30/01/2020;02;41;24;43;21;14;90;8;18;34;7;7;54;8;8;45;2;1;7;0;0;1;0;1;0;0;0;0;0;0;0;83041
30/01/2020;04;450;931;194;315;175;29;4;1;3;0,30/01/2020;03;32;14;44;9;16;93;9;8;18;2;2;34;5;4;17;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;48172
30/01/2020;05;1165;2132;569;874;414;82;13;3;5;0,30/01/2020;04;46;23;65;28;18;183;15;15;49;1;6;74;13;11;38;1;2;5;0;0;1;0;0;0;0;0;0;0;0;0;96788
30/01/2020;06;3207;6273;2196;2599;1460;221;59;6;22;1,30/01/2020;05;141;104;184;74;54;493;49;56;192;13;28;149;25;26;95;10;1;17;0;0;2;0;0;0;0;0;2;0;0;0;271745
30/01/2020;07;3911;9431;3829;4515;2782;443;109;7;45;1,30/01/2020;06;684;424;1339;349;269;2638;278;304;954;67;113;1086;158;115;570;25;20;102;3;1;18;0;1;1;1;1;10;0;0;0;1567827
30/01/2020;08;4349;10324;4476;5313;3284;489;130;6;55;4,30/01/2020;07;1552;1293;4050;896;778;8232;723;851;2946;188;291;3281;453;351;1741;61;41;265;7;4;81;4;1;2;1;2;39;0;1;4;4738028
30/01/2020;09;4079;10332;4354;5459;3465;537;135;7;78;6,30/01/2020;08;1968;1598;4967;1135;978;10398;1109;1185;3970;240;362;4255;598;470;2415;92;53;433;5;9;91;4;1;6;1;0;34;0;0;4;6266506
30/01/2020;10;4074;10432;4191;5302;3229;548;156;8;84;3,30/01/2020;09;1921;1633;4894;1144;1046;11222;1074;1237;4112;286;428;4642;647;504;2625;97;76;517;12;7;118;5;1;14;0;3;71;0;0;8;6925624
30/01/2020;11;3848;10054;4015;5053;3119;524;104;6;76;8,30/01/2020;10;1918;1650;4975;1179;954;11353;1038;1135;3969;262;408;4813;575;496;2675;85;51;480;7;8;104;1;0;8;2;2;68;1;0;5;6792066
30/01/2020;12;3800;9762;3847;4777;2972;501;96;3;49;7,30/01/2020;11;1850;1522;4723;1037;921;10769;975;1118;3919;239;344;4270;593;491;2418;88;50;470;12;6;103;3;0;7;1;3;68;0;0;4;6390937
30/01/2020;13;3646;9357;3685;4549;2867;467;104;7;58;7,30/01/2020;12;1747;1473;4310;1035;834;9791;946;1019;3446;217;356;3926;531;444;2226;82;51;423;8;10;102;5;1;5;1;2;45;0;0;2;5801941
30/01/2020;14;3836;9357;3658;4447;2676;432;103;2;66;6,30/01/2020;13;1695;1394;4116;927;778;9334;837;945;3280;224;333;3663;470;396;2284;54;43;352;9;14;95;2;2;11;1;1;48;1;0;1;5505999
30/01/2020;15;4091;9761;3779;4712;2813;467;96;5;58;3,30/01/2020;14;1555;1340;4120;939;835;9119;798;956;3297;205;295;3349;446;411;1997;55;53;380;8;5;87;0;2;9;1;1;44;1;0;6;5270600
30/01/2020;16;4855;10653;4164;5050;2933;461;92;4;54;4,30/01/2020;15;1654;1393;4865;1020;918;10202;894;1013;3421;235;363;3785;501;380;2195;71;49;365;8;5;90;0;1;9;0;3;45;0;2;2;5696007
30/01/2020;17;5335;11323;4341;5212;3058;555;128;7;63;10,30/01/2020;16;1791;1590;5942;1177;1020;11559;975;1126;3753;234;357;4347;501;445;2239;77;50;412;9;8;96;1;2;5;1;0;62;0;0;3;6294125
30/01/2020;18;6500;13548;5302;6548;3626;514;116;9;69;3,30/01/2020;17;2016;1800;6794;1341;1126;13047;1111;1267;4418;282;364;4720;573;469;2461;77;47;432;6;7;98;1;1;9;2;0;55;2;1;1;6942748
30/01/2020;19;10042;18056;7250;8590;4731;626;149;6;56;2,30/01/2020;18;2609;2347;9141;1636;1423;16827;1374;1535;5656;351;544;6173;689;578;2930;64;58;505;7;10;117;2;1;10;2;4;59;2;1;5;8726129
30/01/2020;20;9309;16698;6028;7720;4030;608;126;9;56;5,30/01/2020;19;3225;3060;10797;2066;1872;19644;1813;1927;6712;448;619;7135;849;639;3354;84;62;497;11;12;101;5;1;14;0;2;57;1;1;5;10067873
30/01/2020;21;6841;12911;3810;5553;2950;499;86;9;36;6,30/01/2020;20;2659;2234;7312;1583;1348;13921;1333;1538;4666;372;492;5363;666;524;2487;78;59;407;8;11;90;3;2;11;0;4;36;0;0;4;7460407
30/01/2020;22;3695;7432;1787;3095;1621;301;48;7;32;2,30/01/2020;21;1595;1409;3838;896;788;7895;765;893;2442;218;340;3115;426;370;1536;58;33;234;6;8;44;2;1;4;2;0;23;0;0;3;4342549
30/01/2020;23;1599;3726;847;1496;775;119;19;4;13;0,30/01/2020;22;619;578;1290;451;359;3238;400;430;1078;111;136;1383;198;182;656;30;24;111;1;2;13;0;0;2;2;2;16;0;0;0;1909630
31/01/2020;00;785;1891;597;811;410;99;8;5;5;0,30/01/2020;23;192;232;409;138;149;1093;121;164;373;46;59;495;97;64;227;12;11;29;1;0;11;0;0;2;0;0;4;0;0;0;677785
31/01/2020;01;356;965;269;371;189;42;8;3;4;0,31/01/2020;00;84;104;137;63;72;476;59;69;152;19;15;217;30;26;93;2;4;13;1;1;1;0;0;0;0;0;4;0;0;0;278598
31/01/2020;02;311;662;170;230;171;27;4;0;2;0,31/01/2020;01;42;40;67;28;25;178;41;30;60;9;12;79;11;12;61;2;4;16;0;1;2;0;0;1;0;0;3;0;0;0;147134
31/01/2020;03;297;662;158;266;133;22;4;1;1;0,31/01/2020;02;30;28;62;19;22;106;20;12;49;4;8;56;8;16;30;2;1;4;0;0;1;0;0;0;0;0;1;0;0;0;84056
31/01/2020;04;416;991;229;340;210;32;5;1;3;0,31/01/2020;03;32;31;43;21;16;109;20;20;47;5;7;62;11;6;38;1;0;4;0;0;2;0;0;0;0;0;0;0;0;0;83600
31/01/2020;05;1133;2269;599;780;411;69;15;2;9;0,31/01/2020;04;40;32;69;36;30;193;18;23;58;5;10;67;24;4;35;4;1;11;1;0;4;0;0;0;0;0;1;0;0;0;117747
31/01/2020;06;3045;6265;2279;2738;1437;244;61;3;29;2,31/01/2020;05;121;83;209;80;83;536;89;97;222;18;23;218;28;24;108;5;4;25;0;1;8;0;0;1;0;0;4;0;0;0;346036
31/01/2020;07;3989;9453;3993;4625;2796;470;115;8;34;6,31/01/2020;06;497;517;1364;357;342;3115;303;391;1154;89;144;1173;168;146;641;23;25;109;2;2;22;0;0;4;0;1;11;0;1;1;1802760
31/01/2020;08;4272;10460;4562;5505;3417;573;126;7;53;6,31/01/2020;07;1266;1370;4198;933;917;8854;901;1001;3187;226;339;3431;455;376;1835;60;49;312;8;7;60;0;2;10;1;1;25;0;1;4;5037059
31/01/2020;09;4141;10631;4691;5759;3551;572;125;4;79;8,31/01/2020;08;1649;1797;5463;1240;1162;11732;1152;1371;4268;310;443;4750;625;533;2725;90;77;498;8;9;101;2;2;7;0;1;55;0;0;2;7047949
31/01/2020;10;4089;10404;4637;5528;3429;584;137;2;61;2,31/01/2020;09;1774;1926;5874;1335;1278;13087;1266;1385;4601;340;481;5148;748;632;2954;106;78;567;12;9;105;1;1;10;3;3;67;2;0;3;7765757
31/01/2020;11;3894;10027;4172;5012;3272;533;127;3;61;5,31/01/2020;10;1553;1914;5219;1239;1175;12081;1127;1430;4248;281;470;4812;678;588;2700;88;75;504;5;9;84;1;2;6;3;1;66;2;0;2;7132917
31/01/2020;12;3849;9663;3826;4927;2963;483;101;1;58;4,31/01/2020;11;1476;1702;4890;1142;1077;11272;1092;1298;4080;259;450;4490;668;525;2662;90;66;460;12;11;121;3;1;10;1;3;54;0;0;6;6821689
31/01/2020;13;3760;9168;3764;4624;2879;468;79;4;58;3,31/01/2020;12;1371;1505;4389;1025;1007;10063;1012;1138;3604;274;430;4019;533;514;2459;79;68;425;4;10;85;1;0;11;3;2;55;0;0;2;6130129
31/01/2020;14;3919;9529;3820;4479;2872;471;105;4;50;5,31/01/2020;13;1278;1416;4049;1016;917;9239;953;1052;3392;235;383;3686;563;450;2171;48;57;367;7;4;86;3;1;7;0;1;41;0;0;1;5547959
31/01/2020;15;4132;9671;3972;4606;2856;481;117;5;58;4,31/01/2020;14;1303;1468;4674;1008;947;9682;942;1116;3338;210;352;3856;533;414;2138;72;58;383;7;1;69;3;3;4;0;4;33;0;1;3;5614761
31/01/2020;16;4841;10587;4352;5104;3008;450;101;1;56;6,31/01/2020;15;1343;1593;5190;1031;1004;10593;907;1122;3606;238;346;3908;566;484;2212;71;58;382;6;10;76;2;0;7;0;1;41;0;2;7;5945275
31/01/2020;17;5237;11381;4547;5501;3228;466;101;8;50;5,31/01/2020;16;1522;1802;6267;1150;1086;12493;1041;1287;4165;242;437;4537;551;456;2322;79;49;411;8;6;87;4;2;12;2;3;62;0;0;2;6669302
31/01/2020;18;6701;13595;5497;6728;3751;576;158;10;69;3,31/01/2020;17;1727;2024;7521;1314;1289;14107;1208;1476;4718;282;480;5098;691;497;2617;70;68;464;15;12;85;4;1;4;2;0;56;0;0;5;7518643
31/01/2020;19;9759;17936;7254;8724;4617;694;140;5;69;5,31/01/2020;18;2173;2647;9605;1647;1675;17675;1521;1752;5957;397;577;6324;790;671;3088;104;86;488;6;8;111;4;3;13;1;4;57;0;0;5;9203451
31/01/2020;20;9456;16480;5984;7682;4119;608;128;7;74;9,31/01/2020;19;2629;3111;10923;1998;1922;19708;1837;2088;6579;493;719;7246;890;717;3427;87;74;564;11;12;104;0;2;12;4;1;41;2;0;5;10268363
31/01/2020;21;6758;12489;3903;5629;2890;457;88;5;49;4,31/01/2020;20;2154;2449;7605;1513;1491;14693;1460;1646;4797;348;550;5509;704;578;2556;65;54;402;8;6;81;2;2;8;1;2;40;0;0;1;7697718
31/01/2020;22;4011;7499;1940;3246;1700;248;43;6;23;4,31/01/2020;21;1247;1396;4017;1000;865;8146;838;1021;2576;226;287;3266;432;386;1533;52;48;235;11;6;52;0;1;5;1;1;27;0;0;1;4502975
31/01/2020;23;1744;3743;894;1555;776;140;22;3;15;0,31/01/2020;22;591;688;1444;444;351;3395;374;459;1141;124;143;1466;213;186;774;20;24;93;0;4;24;0;1;1;0;0;20;0;0;1;2039700
01/02/2020;00;903;2045;620;807;398;68;11;5;7;1,31/01/2020;23;220;226;430;167;139;1053;131;137;382;18;51;486;80;55;274;3;9;43;1;2;6;1;0;1;0;1;4;0;0;0;680899
01/02/2020;01;446;1010;288;424;235;29;7;2;5;0,01/02/2020;00;85;98;172;73;70;503;59;75;182;17;33;260;49;31;138;3;6;22;1;0;4;0;0;0;0;1;7;0;0;0;359831
01/02/2020;02;379;837;221;328;203;53;13;4;5;0,01/02/2020;01;37;39;69;31;39;225;27;31;56;4;15;134;9;10;61;2;3;10;0;0;1;0;0;0;0;0;1;0;0;0;145642
01/02/2020;03;266;647;172;270;147;21;5;1;3;0,01/02/2020;02;33;41;61;31;17;165;17;29;63;6;6;77;13;11;34;1;3;8;0;0;1;0;0;1;0;0;1;0;0;0;109090
01/02/2020;04;402;917;216;326;203;29;5;0;4;0,01/02/2020;03;30;33;44;24;16;125;19;22;47;8;13;81;13;7;39;4;0;6;0;0;2;0;0;0;0;0;0;0;0;0;97801
01/02/2020;05;943;1981;549;698;412;74;7;0;6;0,01/02/2020;04;30;35;54;23;22;149;27;39;51;5;5;67;17;12;42;5;1;14;0;0;1;0;0;0;0;0;2;0;0;0;117736
01/02/2020;06;2993;6022;2204;2425;1358;195;52;2;15;2,01/02/2020;05;107;95;208;47;52;453;62;54;174;14;24;179;27;28;104;2;2;29;0;2;2;0;0;1;0;0;2;0;0;0;290356
01/02/2020;07;4419;9772;3992;4592;2805;434;104;6;43;3,01/02/2020;06;455;472;1213;285;250;2545;287;325;1015;66;122;992;132;131;550;16;12;95;2;3;20;1;0;2;0;0;4;0;0;1;1505729
01/02/2020;08;4541;10442;4600;5442;3185;483;120;9;71;8,01/02/2020;07;1193;1315;4135;820;838;7847;816;878;2940;180;305;3103;440;341;1671;66;52;296;10;10;62;1;0;5;2;2;24;0;0;2;4608616
01/02/2020;09;4345;10694;4616;5435;3387;522;129;6;60;3,01/02/2020;08;1550;1708;5671;1182;1091;11500;1069;1223;4029;278;400;4489;586;528;2308;83;68;418;6;5;81;1;0;8;2;0;41;0;0;3;6468316
01/02/2020;10;4348;10528;4389;5299;3236;525;110;11;68;5,01/02/2020;09;1716;1822;5631;1217;1179;12126;1110;1336;4371;288;428;4765;661;552;2589;89;64;451;12;7;95;2;4;13;2;3;58;0;1;3;7023973
01/02/2020;11;4333;10102;4055;5132;3187;524;114;6;70;6,01/02/2020;10;1547;1712;5733;1162;1086;12048;1135;1283;4151;257;388;4811;583;531;2514;92;64;472;8;6;93;3;3;10;2;2;49;2;0;4;6873392
01/02/2020;12;4397;9692;4065;4786;2963;449;87;9;56;3,01/02/2020;11;1518;1687;5403;1096;1066;11293;1024;1254;3956;272;414;4436;560;496;2446;79;70;436;7;8;94;1;3;5;1;1;47;0;2;4;6517531
01/02/2020;13;4279;9871;3867;4690;2756;484;104;6;47;2,01/02/2020;12;1394;1511;5076;1058;940;10805;939;1073;3592;249;410;4276;520;466;2130;61;53;430;13;3;81;2;0;10;3;5;53;0;1;3;6065062
01/02/2020;14;4335;10184;3942;4751;2789;450;115;6;52;4,01/02/2020;13;1286;1419;4743;989;926;9761;895;1065;3372;242;340;3805;500;427;2136;52;63;403;4;5;79;6;4;16;2;0;37;1;0;3;5661352
01/02/2020;15;4413;10167;4092;4726;2789;465;111;4;45;2,01/02/2020;14;1327;1511;4934;1003;883;10046;861;1071;3391;230;354;3775;485;420;1929;51;54;343;8;6;88;2;0;8;1;0;61;0;0;0;5544838
01/02/2020;16;4741;10662;4147;5041;2890;461;94;4;44;0,01/02/2020;15;1329;1482;5015;1049;975;10561;934;1083;3452;237;379;3921;456;424;2124;62;44;345;8;6;90;1;1;10;0;0;39;2;0;0;5723650
01/02/2020;17;5009;11348;4562;5564;2885;459;107;10;44;4,01/02/2020;16;1416;1663;5643;1147;1055;11285;1001;1179;3813;256;336;4210;581;454;2160;53;51;320;6;7;78;4;0;4;3;3;40;1;0;1;6045798
01/02/2020;18;6251;13493;5484;6559;3557;604;121;6;71;1,01/02/2020;17;1642;1872;6881;1234;1138;12939;1068;1258;4407;306;421;4632;587;473;2369;62;49;436;10;3;80;1;2;9;2;2;33;1;0;2;6799590
01/02/2020;19;9763;18122;7221;8582;4609;669;158;9;64;4,01/02/2020;18;1951;2363;9214;1567;1419;16518;1432;1706;5608;342;557;6148;740;615;2913;79;66;489;12;2;114;5;0;8;2;0;48;0;0;2;8663603
