ref_date;interval;L50;L100;L200;L250;L500;L1000;L1500;L2000;L2500;L5000,SDATE;INTERVAL;R<50-25%;R<50-75%;R50;R<100-25%;R<100-75%;R100;R<200-25%;R<200-75%;R200;R<250-25%;R<250-75%;R250;R<500-25%;R<500-75%;R500;R<1000-25%;R<1000-75%;R1000;R<1500-25%;R<1500-75%;R1500;R<2000-25%;R<2000-75%;R2000;R<2500-25%;R<2500-75%;R2500;R<5000-25%;R<5000-75%;R5000;SUM_CENTS_PRINCIPAL
02/01/2020;02;821;1392;342;431;217;25;5;0;1;0,02/01/2020;02;75;60;154;45;48;311;38;45;98;6;10;134;17;21;36;2;1;9;1;0;1;0;0;0;0;0;0;0;0;0;163943
02/01/2020;03;594;1023;249;332;157;21;6;0;2;2,02/01/2020;03;49;48;110;32;25;201;33;28;82;6;7;105;12;5;39;1;2;4;0;1;1;0;0;0;0;0;1;0;0;1;128215
02/01/2020;04;504;982;219;316;174;21;3;0;1;0,02/01/2020;04;45;40;96;39;21;184;24;30;69;3;9;75;11;11;24;1;1;7;0;0;1;0;0;0;0;0;1;0;0;0;104994
02/01/2020;05;710;1471;369;510;262;49;12;0;3;0,02/01/2020;05;73;67;112;60;41;281;49;41;96;9;11;132;22;15;61;0;2;12;0;1;0;0;0;0;0;0;2;0;0;0;177312
02/01/2020;06;2081;4550;1485;1669;1006;162;25;2;14;1,02/01/2020;06;290;223;649;158;122;1329;138;187;496;39;58;596;82;61;310;12;5;56;1;0;9;0;0;0;0;0;6;0;0;1;823113
02/01/2020;07;3825;8463;3248;3704;2231;353;82;7;34;3,02/01/2020;07;999;754;2961;599;446;5646;570;576;2179;138;206;2315;317;208;1223;43;18;195;5;4;26;0;1;3;0;2;25;1;0;0;3248622
02/01/2020;08;4491;10619;4446;5009;3016;486;122;7;63;3,02/01/2020;08;1695;1342;4576;1043;794;9021;874;929;3478;254;324;3852;443;358;2103;60;50;347;5;2;82;2;0;6;3;2;40;1;0;0;5407120
02/01/2020;09;5124;11724;4831;6020;3513;566;138;10;85;6,02/01/2020;09;1625;1599;5643;1204;948;11949;1052;1151;4382;264;414;5028;625;501;2820;84;59;464;4;6;114;3;0;9;1;4;49;0;0;3;7060780
02/01/2020;10;5377;12242;5115;6119;3629;596;127;6;75;5,02/01/2020;10;1662;1756;6256;1209;1039;12705;1122;1201;4727;294;441;5378;609;493;3006;75;72;534;5;5;116;2;2;4;4;0;55;0;1;2;7536203
02/01/2020;11;5241;11921;4770;5908;3343;566;135;4;59;11,02/01/2020;11;1679;1643;6110;1191;997;12700;1038;1172;4394;281;382;5049;620;468;2734;73;56;470;12;11;113;3;3;12;3;2;51;1;0;4;7147510
02/01/2020;12;5075;11644;4518;5626;3148;493;89;8;56;3,02/01/2020;12;1572;1517;5543;1106;965;11542;978;1107;4196;229;393;4888;529;455;2468;82;56;463;4;6;90;2;1;11;2;4;70;0;0;2;6690521
02/01/2020;13;5050;10942;4304;5321;3070;490;106;3;56;1,02/01/2020;13;1397;1428;5031;1075;843;10725;927;987;3842;235;344;4330;506;408;2469;66;32;419;9;4;92;4;2;9;1;1;51;0;1;5;6189584
02/01/2020;14;4847;10908;4169;5127;2844;464;96;6;61;3,02/01/2020;14;1348;1419;4853;1010;838;10282;884;982;3685;251;328;4193;481;387;2267;61;50;413;8;6;96;1;0;6;2;0;45;0;0;2;5905993
02/01/2020;15;4949;10994;4328;5061;2879;452;113;7;61;3,02/01/2020;15;1370;1411;5084;1007;812;10699;920;1028;3958;227;325;4165;489;384;2180;56;55;378;6;7;81;2;0;11;3;0;45;1;0;3;5933776
02/01/2020;16;5279;11625;4601;5351;2973;478;91;8;56;5,02/01/2020;16;1458;1551;5850;1077;926;11617;987;1076;4217;196;406;4556;532;445;2499;52;46;410;11;6;81;2;0;4;1;5;41;1;0;4;6477507
02/01/2020;17;5473;12273;4855;5604;3114;464;101;10;68;5,02/01/2020;17;1685;1706;6694;1231;1006;13080;1078;1257;4582;284;413;5127;574;431;2604;58;51;425;9;11;96;2;1;9;2;1;43;0;1;5;7091681
02/01/2020;18;7228;14910;5704;6724;3734;559;131;10;52;7,02/01/2020;18;2053;2265;9367;1575;1407;17175;1355;1548;5863;323;508;6686;720;584;3116;70;60;528;8;9;96;4;1;14;2;2;47;1;0;2;8965047
02/01/2020;19;9621;17275;6290;7651;3970;597;143;8;68;3,02/01/2020;19;2262;2412;9351;1699;1452;16941;1527;1656;5913;368;533;6731;702;588;3061;79;77;490;13;16;84;2;2;7;0;1;52;0;1;3;8981922
02/01/2020;20;8647;15245;4908;6469;3241;523;117;4;50;2,02/01/2020;20;1770;1765;5769;1218;991;11428;1029;1183;3771;275;378;4532;539;431;2125;63;38;332;2;3;71;1;1;5;1;1;37;0;1;0;6080230
02/01/2020;21;5915;11056;3001;4489;2207;356;69;14;28;0,02/01/2020;21;1078;1030;2852;747;580;6198;598;641;2054;150;220;2614;320;248;1213;25;22;164;5;4;37;0;0;1;0;1;24;0;0;0;3377198
02/01/2020;22;3368;6444;1483;2559;1258;220;28;7;16;0,02/01/2020;22;455;416;942;276;245;2208;241;248;732;73;66;1000;129;109;481;17;10;88;1;3;20;1;1;1;0;0;7;0;2;0;1325998
02/01/2020;23;1602;3323;633;1231;695;104;24;3;6;3,02/01/2020;23;149;133;285;119;80;809;88;92;242;19;25;363;46;38;172;5;0;35;2;1;5;0;0;0;0;0;3;0;0;0;463442
03/01/2020;00;738;1851;459;608;342;70;9;4;7;1,03/01/2020;00;83;45;104;49;37;287;38;35;74;17;8;129;25;14;86;6;2;19;0;0;5;0;0;1;0;0;0;0;0;0;196546
03/01/2020;01;351;800;193;275;164;34;6;2;2;0,03/01/2020;01;29;39;39;23;25;168;23;17;54;4;4;65;15;7;48;0;3;9;0;1;0;0;0;0;0;0;0;0;0;0;103245
03/01/2020;02;247;572;131;230;99;27;2;1;1;0,03/01/2020;02;29;20;38;10;21;112;15;16;31;6;4;53;11;2;19;2;1;4;0;0;3;0;0;1;0;1;1;0;0;0;74002
03/01/2020;03;220;537;126;215;114;27;6;0;2;0,03/01/2020;03;17;21;29;12;13;97;14;8;38;2;3;40;6;2;29;3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;62872
03/01/2020;04;280;731;148;294;145;27;2;0;0;0,03/01/2020;04;32;20;43;19;11;112;12;15;45;1;2;55;8;10;27;2;2;6;1;0;1;0;0;0;0;0;1;0;0;0;78290
03/01/2020;05;693;1594;443;572;294;51;11;0;2;0,03/01/2020;05;68;65;120;60;30;337;37;48;132;8;15;165;19;17;63;5;0;8;1;1;5;0;0;1;0;0;1;0;0;0;204700
03/01/2020;06;2786;5802;2057;2195;1220;211;40;2;20;1,03/01/2020;06;473;351;1028;300;228;1969;232;254;885;56;64;939;129;81;546;18;16;96;1;2;21;0;0;0;1;0;10;0;0;1;1348007
03/01/2020;07;4665;9841;4062;4423;2534;399;86;4;44;7,03/01/2020;07;1257;1137;3919;801;642;7399;707;788;2948;205;263;3226;349;318;1606;55;32;271;8;1;63;1;0;4;1;1;25;0;0;3;4393163
03/01/2020;08;4869;11219;4801;5391;3096;510;111;2;46;3,03/01/2020;08;1728;1666;5721;1184;962;11590;1091;1221;4362;281;370;4875;583;486;2594;64;52;424;10;7;91;1;1;15;3;0;48;0;0;0;6771591
03/01/2020;09;5024;11698;4966;5841;3378;558;115;6;81;2,03/01/2020;09;1929;1789;5895;1297;1055;13120;1199;1335;4993;296;447;5608;659;490;3019;96;60;508;6;8;124;4;0;13;4;1;70;0;0;1;7777029
03/01/2020;10;4996;11765;4835;5686;3397;589;124;8;80;5,03/01/2020;10;1829;1758;6046;1338;1113;13188;1199;1331;4825;295;420;5300;630;549;3080;68;68;518;13;9;111;4;1;12;0;5;62;0;1;1;7698770
03/01/2020;11;4862;11240;4475;5466;3217;530;124;6;78;3,03/01/2020;11;1757;1679;5608;1197;1049;12068;1128;1192;4420;279;399;5168;595;480;2781;63;68;511;9;7;100;2;2;7;2;3;55;1;0;2;7141760
03/01/2020;12;4800;10816;4371;5075;3086;499;97;5;60;4,03/01/2020;12;1658;1450;4990;1054;797;10897;1024;1135;4020;269;361;4459;538;460;2614;67;52;445;10;3;85;3;0;9;2;0;61;1;0;3;6468156
03/01/2020;13;4554;10456;4013;4808;2658;447;98;3;60;4,03/01/2020;13;1391;1328;4540;1040;813;10096;889;1006;3606;222;286;4061;468;391;2190;60;45;411;8;8;72;1;3;8;2;1;42;0;1;1;5730668
03/01/2020;14;4666;10400;3892;4812;2793;446;87;6;61;5,03/01/2020;14;1447;1381;4656;1007;816;9859;877;979;3533;220;348;4085;476;414;2225;72;52;428;4;10;87;0;0;9;2;3;54;0;1;3;5838265
03/01/2020;15;4755;10510;4022;4703;2749;453;98;1;45;3,03/01/2020;15;1393;1343;4933;1000;814;9948;856;968;3576;222;317;4140;473;393;2268;54;49;381;7;3;70;1;2;12;4;3;50;0;0;3;5785493
03/01/2020;16;4945;10669;4117;4896;2705;438;101;7;63;5,03/01/2020;16;1494;1498;5586;1104;894;10804;982;1028;3788;256;326;4467;469;445;2323;56;40;415;6;4;95;0;3;6;0;2;52;0;1;1;6175696
03/01/2020;17;5285;11179;4308;5184;2804;406;119;7;54;1,03/01/2020;17;1680;1667;6372;1193;1014;12150;1091;1152;4325;259;412;4958;562;409;2470;72;43;441;9;13;98;5;0;3;0;1;43;0;2;3;6788866
