datetime,cumulative_balance
2020-01-07 20:00:00,-571167
2020-01-07 21:00:00,-565304
2020-01-07 22:00:00,-557776
2020-01-07 23:00:00,-553225
2020-01-08 00:00:00,-550797
2020-01-08 01:00:00,-549637
2020-01-08 02:00:00,-548692
2020-01-08 03:00:00,-547849
2020-01-08 04:00:00,-546560
2020-01-08 05:00:00,-543313
2020-01-08 06:00:00,-538119
2020-01-08 07:00:00,-542460
2020-01-08 08:00:00,-553776
2020-01-08 09:00:00,-565732
2020-01-08 10:00:00,-577368
2020-01-08 11:00:00,-586411
2020-01-08 12:00:00,-593941
2020-01-08 13:00:00,-600462
2020-01-08 14:00:00,-606505
2020-01-08 15:00:00,-613768
2020-01-08 16:00:00,-623873
2020-01-08 17:00:00,-637505
2020-01-08 18:00:00,-657293
2020-01-08 19:00:00,-672284
2020-01-08 20:00:00,-674084
2020-01-08 21:00:00,-667892
2020-01-08 22:00:00,-660349
2020-01-08 23:00:00,-655873
2020-01-09 00:00:00,-654967
2020-01-09 01:00:00,-654460
2020-01-09 02:00:00,-653286
2020-01-09 03:00:00,-652237
2020-01-09 04:00:00,-650833
2020-01-09 05:00:00,-647574
2020-01-09 06:00:00,-641901
2020-01-09 07:00:00,-645407
2020-01-09 08:00:00,-653801
2020-01-09 09:00:00,-663728
2020-01-09 10:00:00,-673148
2020-01-09 11:00:00,-682111
2020-01-09 12:00:00,-684546
2020-01-09 13:00:00,-692437
2020-01-09 14:00:00,-698443
2020-01-09 15:00:00,-706675
2020-01-09 16:00:00,-717848
2020-01-09 17:00:00,-731046
2020-01-09 18:00:00,-749983
2020-01-09 19:00:00,-764120
2020-01-09 20:00:00,-766020
2020-01-09 21:00:00,-759162
2020-01-09 22:00:00,-751859
2020-01-09 23:00:00,-746867
2020-01-10 00:00:00,-743921
2020-01-10 01:00:00,-742566
2020-01-10 02:00:00,-741629
2020-01-10 03:00:00,-740639
2020-01-10 04:00:00,-739262
2020-01-10 05:00:00,-735757
2020-01-10 06:00:00,-730179
2020-01-10 07:00:00,-734712
2020-01-10 08:00:00,-744908
2020-01-10 09:00:00,-756196
2020-01-10 10:00:00,-766459
2020-01-10 11:00:00,-774858
2020-01-10 12:00:00,-781595
2020-01-10 13:00:00,-787437
2020-01-10 14:00:00,-794675
2020-01-10 15:00:00,-802575
2020-01-10 16:00:00,-812787
2020-01-10 17:00:00,-826531
2020-01-10 18:00:00,-845356
2020-01-10 19:00:00,-859605
2020-01-10 20:00:00,-861321
2020-01-10 21:00:00,-856239
2020-01-10 22:00:00,-848861
2020-01-10 23:00:00,-843443
2020-01-11 00:00:00,-840140
2020-01-11 01:00:00,-838568
2020-01-11 02:00:00,-837341
2020-01-11 03:00:00,-836242
2020-01-11 04:00:00,-834773
2020-01-11 05:00:00,-831572
2020-01-11 06:00:00,-825329
2020-01-11 07:00:00,-826862
2020-01-11 08:00:00,-835386
2020-01-11 09:00:00,-846108
2020-01-11 10:00:00,-856599
2020-01-11 11:00:00,-864423
2020-01-11 12:00:00,-871359
2020-01-11 13:00:00,-877166
2020-01-11 14:00:00,-882937
2020-01-11 15:00:00,-889120
2020-01-11 16:00:00,-896756
2020-01-11 17:00:00,-908358
2020-01-11 18:00:00,-926008
2020-01-11 19:00:00,-940808
2020-01-11 20:00:00,-945398
2020-01-11 21:00:00,-941288
2020-01-11 22:00:00,-934354
2020-01-11 23:00:00,-928771
2020-01-12 00:00:00,-925178
2020-01-12 01:00:00,-923403
2020-01-12 02:00:00,-921993
2020-01-12 03:00:00,-920963
2020-01-12 04:00:00,-919755
2020-01-12 05:00:00,-916731
2020-01-12 06:00:00,-910233
2020-01-12 07:00:00,-909698
2020-01-12 08:00:00,-914775
2020-01-12 09:00:00,-922154
2020-01-12 10:00:00,-929088
2020-01-12 11:00:00,-935366
2020-01-12 12:00:00,-940829
2020-01-12 13:00:00,-945753
2020-01-12 14:00:00,-951366
2020-01-12 15:00:00,-956545
2020-01-12 16:00:00,-962898
2020-01-12 17:00:00,-970873
2020-01-12 18:00:00,-984918
2020-01-12 19:00:00,-996664
2020-01-12 20:00:00,-997094
2020-01-12 21:00:00,-990314
2020-01-12 22:00:00,-982892
2020-01-12 23:00:00,-977591
2020-01-13 00:00:00,-974761
2020-01-13 01:00:00,-973265
2020-01-13 02:00:00,-972318
2020-01-13 03:00:00,-971468
2020-01-13 04:00:00,-970120
2020-01-13 05:00:00,-967079
2020-01-13 06:00:00,-962076
2020-01-13 07:00:00,-966166
2020-01-13 08:00:00,-977694
2020-01-13 09:00:00,-991776
2020-01-13 10:00:00,-1004677
2020-01-13 11:00:00,-1014288
2020-01-13 12:00:00,-1022663
2020-01-13 13:00:00,-1028964
2020-01-13 14:00:00,-1033976
2020-01-13 15:00:00,-1040542
2020-01-13 16:00:00,-1049216
2020-01-13 17:00:00,-1061364
2020-01-13 18:00:00,-1079143
2020-01-13 19:00:00,-1093486
2020-01-13 20:00:00,-1095131
2020-01-13 21:00:00,-1089401
2020-01-13 22:00:00,-1082406
2020-01-13 23:00:00,-1077769
2020-01-14 00:00:00,-1075176
2020-01-14 01:00:00,-1073946
2020-01-14 02:00:00,-1073036
2020-01-14 03:00:00,-1072099
2020-01-14 04:00:00,-1070662
2020-01-14 05:00:00,-1067204
2020-01-14 06:00:00,-1061970
2020-01-14 07:00:00,-1066833
2020-01-14 08:00:00,-1078097
2020-01-14 09:00:00,-1090850
2020-01-14 10:00:00,-1102092
2020-01-14 11:00:00,-1110819
2020-01-14 12:00:00,-1117372
2020-01-14 13:00:00,-1123171
2020-01-14 14:00:00,-1128943
2020-01-14 15:00:00,-1135804
2020-01-14 16:00:00,-1145192
2020-01-14 17:00:00,-1158180
2020-01-14 18:00:00,-1176509
2020-01-14 19:00:00,-1191654
2020-01-14 20:00:00,-1193731
2020-01-14 21:00:00,-1187874
2020-01-14 22:00:00,-1180814
2020-01-14 23:00:00,-1177037
2020-01-15 00:00:00,-1174675
2020-01-15 01:00:00,-1173670
2020-01-15 02:00:00,-1172844
2020-01-15 03:00:00,-1171947
2020-01-15 04:00:00,-1170610
2020-01-15 05:00:00,-1167279
2020-01-15 06:00:00,-1162411
2020-01-15 07:00:00,-1168567
2020-01-15 08:00:00,-1198979
2020-01-15 09:00:00,-1198641
2020-01-15 10:00:00,-1203089
2020-01-15 11:00:00,-1207257
2020-01-15 12:00:00,-1210643
2020-01-15 13:00:00,-1213853
2020-01-15 14:00:00,-1217541
2020-01-15 15:00:00,-1221799
2020-01-15 16:00:00,-1228340
